# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = Barson_Rolfe_model
# start_datetime = 2023-10-03 02:25:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 250
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/Barson_Rolfe_data_1.json
# init = 2 (Default)
# random
#   seed = 4202960196 (Default)
# output
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/Barson_Rolfe_chain.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,Kmat_pred_ksi,mu_pred
# Adaptation terminated
# Step size = 0.912853
# Diagonal elements of inverse mass matrix:
# 0.0185225
-69.766,0.930922,0.912853,1,3,0,70.1343,5.83524,137.236,135.185
-69.7813,0.951481,0.912853,2,3,0,70.1488,5.60087,141.042,135.185
-69.8593,0.968001,0.912853,1,3,0,69.9886,6.11498,139.995,135.185
-70.2663,0.941582,0.912853,2,3,0,70.4435,6.6228,146.964,135.185
-70.1233,1,0.912853,1,1,0,70.2733,6.47732,127.069,135.185
-69.7931,0.997846,0.912853,2,3,0,70.1445,5.95704,119.61,135.185
-70.364,0.92882,0.912853,2,3,0,70.4639,6.71294,139.606,135.185
-71.07,0.89333,0.912853,1,1,0,71.0708,7.25287,125.445,135.185
-69.9868,0.990234,0.912853,2,3,0,71.2023,6.3141,139.915,135.185
-69.9955,0.914584,0.912853,2,3,0,70.9672,5.26023,144.536,135.185
-70.2773,0.850557,0.912853,2,3,0,71.1631,5.04506,132.68,135.185
-70.6542,0.901038,0.912853,1,1,0,70.7212,4.85008,131.938,135.185
-69.9136,1,0.912853,2,3,0,70.4917,6.20881,128.167,135.185
-69.763,0.934623,0.912853,2,3,0,70.47,5.80734,140.225,135.185
-69.9736,0.949911,0.912853,1,3,0,70.0732,5.28223,140.401,135.185
-69.9549,1,0.912853,1,1,0,70.01,5.30216,132.196,135.185
-70.7293,0.687154,0.912853,1,3,0,72.1205,7.01002,135.445,135.185
-69.9659,0.87508,0.912853,2,7,0,71.8768,5.29032,141.315,135.185
-69.9719,0.998537,0.912853,1,1,0,70.0186,5.28409,146.614,135.185
-70.5124,0.956574,0.912853,2,3,0,70.5132,4.91605,137.099,135.185
-70.0999,1,0.912853,1,1,0,70.4264,5.16854,134.633,135.185
-70.3497,0.936332,0.912853,1,1,0,70.3891,5.00203,146.212,135.185
-69.9238,1,0.912853,1,1,0,70.2425,5.33776,140.497,135.185
-69.8687,0.949088,0.912853,1,3,0,70.283,6.13273,139.585,135.185
-69.8045,1,0.912853,1,1,0,69.8563,5.99103,130.195,135.185
-69.7698,0.825122,0.912853,2,3,0,71.5499,5.65179,147.015,135.185
-69.7754,0.994889,0.912853,1,3,0,69.8077,5.89001,139.643,135.185
-69.7615,0.983141,0.912853,2,3,0,69.9007,5.78527,126.021,135.185
-69.7616,0.999993,0.912853,2,3,0,69.7617,5.78707,135.265,135.185
-71.0528,0.846239,0.912853,2,3,0,71.3973,4.69464,132.145,135.185
-71.0438,1,0.912853,1,1,0,71.3972,4.69778,132.564,135.185
-70.0412,0.802462,0.912853,1,3,0,72.3324,6.38311,131.233,135.185
-70.3153,0.896596,0.912853,2,3,0,71.3002,5.02206,129.538,135.185
-70.3797,0.982639,0.912853,1,1,0,70.5046,4.98519,136.843,135.185
-70.5289,0.661351,0.912853,1,3,0,72.6096,6.85336,125.826,135.185
-69.9039,0.917166,0.912853,1,3,0,71.3778,5.36265,127.225,135.185
-69.9722,0.9835,0.912853,1,1,0,69.9914,5.28374,137.211,135.185
-69.891,0.963239,0.912853,2,3,0,70.2953,5.37974,136.294,135.185
-70.1239,0.944273,0.912853,1,1,0,70.1262,5.14991,126.25,135.185
-69.9027,1,0.912853,1,1,0,70.0734,5.36411,138.183,135.185
-70.2619,0.971445,0.912853,2,3,0,70.2621,5.05464,138.586,135.185
-69.9902,1,0.912853,1,1,0,70.2068,5.26543,137.014,135.185
-69.873,0.965481,0.912853,2,3,0,70.2851,5.40524,122.132,135.185
-70.8911,0.863809,0.912853,2,7,0,70.8971,7.12837,126.633,135.185
-69.9933,0.870177,0.912853,1,3,0,72.2218,5.26241,133.069,135.185
-70.5828,0.857558,0.912853,1,1,0,70.584,4.88241,137.601,135.185
-70.5487,0.716025,0.912853,2,3,0,73.0141,6.86949,132.593,135.185
-70.2557,1,0.912853,1,1,0,70.5245,6.61263,131.004,135.185
-69.7781,0.973727,0.912853,1,3,0,70.5371,5.61279,133.893,135.185
-69.7679,0.996358,0.912853,2,3,0,69.8116,5.84867,134.875,135.185
-70.061,0.941397,0.912853,1,3,0,70.1394,6.40675,131.837,135.185
-70.1127,0.969521,0.912853,2,3,0,70.4794,6.46566,132.472,135.185
-69.9074,1,0.912853,2,3,0,70.0752,6.19901,138.432,135.185
-69.773,0.9979,0.912853,1,3,0,69.8977,5.87832,139.346,135.185
-69.7947,0.995594,0.912853,1,1,0,69.7947,5.96208,141.025,135.185
-69.7947,0.7605,0.912853,1,3,0,71.3733,5.96208,136.462,135.185
-69.8279,0.971677,0.912853,2,3,0,70.0573,5.48132,140.15,135.185
-71.0483,0.685943,0.912853,1,3,0,72.2963,7.23809,135.809,135.185
-69.8546,1,0.912853,2,3,0,71.017,6.10585,135.336,135.185
-69.8,1,0.912853,1,1,0,69.844,5.9781,131.297,135.185
-69.9128,0.987964,0.912853,2,7,0,69.9154,5.35127,141.66,135.185
-69.7756,1,0.912853,2,3,0,69.884,5.89053,136.772,135.185
-69.773,0.770892,0.912853,2,3,0,72.2544,5.87805,137.953,135.185
-70.3806,0.923243,0.912853,2,3,0,70.4481,6.72766,138.569,135.185
-69.7755,1,0.912853,2,3,0,70.3324,5.89022,133.489,135.185
-69.7852,0.992277,0.912853,1,3,0,69.8368,5.58711,126.115,135.185
-70.8177,0.814895,0.912853,1,3,0,70.9442,4.78181,130.148,135.185
-70.6192,1,0.912853,1,1,0,70.946,4.8657,141.749,135.185
-71.06,0.959395,0.912853,2,3,0,71.2106,4.69215,136.289,135.185
-71.4333,0.963316,0.912853,2,3,0,71.7251,4.57348,123.369,135.185
-70.5866,1,0.912853,1,1,0,71.2799,4.88065,136.818,135.185
-71.7142,0.710886,0.912853,1,1,0,71.7936,4.49552,132.408,135.185
-70.6266,1,0.912853,1,1,0,71.4755,4.86237,145.839,135.185
-75.6593,0.185521,0.912853,1,1,0,75.6681,3.8307,138.25,135.185
-71.2579,1,0.912853,1,1,0,74.2125,4.62676,134.795,135.185
-71.195,1,0.912853,1,1,0,71.6221,4.64688,127.657,135.185
-69.7713,0.996358,0.912853,1,3,0,71.1032,5.64357,133.216,135.185
-70.879,0.857418,0.912853,2,3,0,70.8907,7.11978,121.284,135.185
-69.7834,0.980885,0.912853,1,3,0,71.028,5.92333,139.803,135.185
-69.7834,0.929759,0.912853,1,3,0,70.1716,5.92333,144.596,135.185
-69.7625,0.997992,0.912853,1,3,0,69.7989,5.70813,137.775,135.185
-70.049,0.959528,0.912853,2,3,0,70.1215,5.2108,127.709,135.185
-69.9012,1,0.912853,1,1,0,70.0219,5.36611,133.794,135.185
-70.4338,0.779083,0.912853,1,3,0,71.3915,6.77392,123.614,135.185
-70.8018,0.980961,0.912853,2,3,0,70.8359,7.06385,135.941,135.185
-70.7325,1,0.912853,1,1,0,70.9367,7.01243,137.156,135.185
-69.7607,0.981163,0.912853,1,3,0,71.0194,5.76031,146.327,135.185
-71.5057,0.66406,0.912853,1,3,0,72.501,7.53569,143.576,135.185
-70.2265,0.807985,0.912853,1,3,0,73.8676,5.07744,144.5,135.185
-69.7823,0.982275,0.912853,2,3,0,70.3573,5.59714,134.537,135.185
-70.6673,0.77392,0.912853,1,3,0,71.3813,6.96291,145.903,135.185
-70.1453,0.860948,0.912853,1,3,0,72.1855,5.13386,146.466,135.185
-70.1453,0.841474,0.912853,1,1,0,70.6241,5.13386,137.656,135.185
-70.1356,1,0.912853,1,1,0,70.2316,5.1411,133.347,135.185
-69.8836,1,0.912853,1,1,0,70.0747,5.39001,130.837,135.185
-70.0723,0.954899,0.912853,1,1,0,70.0758,5.19101,139.662,135.185
-70.153,0.827881,0.912853,1,3,0,71.1878,6.50916,140.157,135.185
-70.2151,0.989288,0.912853,1,1,0,70.2701,6.57291,129.507,135.185
-70.3142,0.983302,0.912853,1,1,0,70.3699,6.66772,144.671,135.185
-70.0224,1,0.912853,2,3,0,70.2651,6.35993,134.795,135.185
-70.1771,0.972871,0.912853,1,1,0,70.1925,6.53435,133.264,135.185
-70.4137,0.960646,0.912853,1,1,0,70.4368,6.75659,135.878,135.185
-70.3197,1,0.912853,1,1,0,70.4718,6.67281,143.932,135.185
-70.7386,0.934029,0.912853,1,1,0,70.7543,7.01702,128.357,135.185
-69.7663,0.870152,0.912853,2,3,0,72.2065,5.8376,127.69,135.185
-69.8091,0.992886,0.912853,1,3,0,69.8127,6.00345,146.959,135.185
-70.707,0.805607,0.912853,1,3,0,71.2582,4.82724,135.851,135.185
-70.707,0.364104,0.912853,1,1,0,72.8309,4.82724,125.371,135.185
-72.314,0.868103,0.912853,2,3,0,72.3955,4.35199,132.607,135.185
-69.7607,0.983772,0.912853,1,3,0,72.2889,5.75456,133.501,135.185
-69.8507,0.978546,0.912853,1,3,0,69.8892,6.09832,133.785,135.185
-69.8259,0.971684,0.912853,2,7,0,70.058,5.48532,127.708,135.185
-70.1647,0.919038,0.912853,2,3,0,70.4929,5.11981,132.924,135.185
-71.6191,0.663639,0.912853,1,1,0,71.6195,4.521,131.857,135.185
