a_opt,u_opt,Kmat_meas
no_action,0.0,163.108
no_action,0.001,151.724
reduce_operation,0.02500000037252903,110.706
repair,0.020999999534338714,137.874
repair,0.019999999552965164,139.835
no_action,0.014,141.618
no_action,0.017,140.894
repair,0.019999999552965164,138.954
repair,0.02299999949708581,124.52
no_action,0.0,180.956
repair,0.020999999534338714,136.015
repair,0.020999999534338714,136.63
no_action,0.0,160.703
repair,0.021999999515712264,126.596
repair,0.02299999949708581,122.658
repair,0.02299999949708581,122.255
repair,0.020999999534338714,135.635
repair,0.021999999515712264,129.169
no_action,0.001,150.292
no_action,0.0,156.362
no_action,0.0,158.529
no_action,0.01,143.148
repair,0.020999999534338714,134.375
repair,0.020999999534338714,132.532
reduce_operation,0.038000000057742,94.7552
no_action,0.004,146.532
no_action,0.0,158.183
no_action,0.004,146.693
repair,0.020999999534338714,132.725
reduce_operation,0.02500000037252903,108.54
no_action,0.016,141.1
no_action,0.008,144.278
no_action,0.007,144.849
no_action,0.001,151.492
no_action,0.015,141.365
no_action,0.0,212.043
repair,0.021999999515712264,129.08
repair_reduce,0.051000001519918445,76.4327
repair,0.024999999459832906,116.427
no_action,0.001,151.898
no_action,0.0,201.772
no_action,0.0,222.597
repair,0.020999999534338714,138.568
no_action,0.0,173.514
repair,0.019999999552965164,140.116
no_action,0.005,146.258
repair,0.024999999459832906,117.703
repair,0.020999999534338714,135.675
no_action,0.001,150.772
repair,0.020999999534338714,131.395
repair,0.024999999459832906,117.009
repair,0.020999999534338714,133.716
repair,0.020999999534338714,133.908
repair,0.02299999949708581,124.804
reduce_operation,0.026000000348314643,100.666
repair,0.024999999459832906,117.923
no_action,0.0,190.865
no_action,0.0,181.478
no_action,0.006,145.574
repair,0.020999999534338714,131.203
repair_reduce,0.04600000174343585,91.1611
reduce_operation,0.02500000037252903,113.439
repair,0.020999999534338714,136.868
no_action,0.0,172.279
no_action,0.005,146.236
no_action,0.0,173.678
no_action,0.002,148.687
no_action,0.0,154.442
no_action,0.0,154.278
repair,0.021999999515712264,127.678
no_action,0.0,173.529
no_action,0.018,140.471
repair,0.023999999478459356,120.777
no_action,0.001,150.659
repair,0.020999999534338714,134.031
repair,0.020999999534338714,130.595
repair,0.024999999459832906,118.018
reduce_operation,0.02500000037252903,115.349
repair,0.019999999552965164,139.066
repair,0.020999999534338714,138.163
reduce_operation,0.02500000037252903,107.208
reduce_operation,0.02500000037252903,116.141
no_action,0.0,160.798
repair,0.023999999478459356,121.162
repair_reduce,0.058000001206994056,70.9689
no_action,0.0,164.288
no_action,0.0,158.025
no_action,0.008,144.309
reduce_operation,0.02500000037252903,104.683
no_action,0.0,216.693
no_action,0.0,161.368
no_action,0.0,182.489
repair,0.021999999515712264,125.4
repair,0.023999999478459356,120.883
no_action,0.005,145.829
reduce_operation,0.02500000037252903,114.934
no_action,0.0,163.033
repair,0.021999999515712264,128.381
no_action,0.0,168.774
repair,0.024999999459832906,117.137
repair,0.020999999534338714,133.637
repair,0.020999999534338714,133.426
no_action,0.004,147.031
no_action,0.0,154.625
no_action,0.0,152.841
repair,0.024999999459832906,118.031
no_action,0.019,140.418
repair,0.02299999949708581,124.725
no_action,0.004,147.118
no_action,0.009,143.609
no_action,0.007,144.455
no_action,0.01,143.196
no_action,0.001,150.154
no_action,0.0,172.535
no_action,0.003,147.895
no_action,0.001,151.075
repair,0.021999999515712264,125.879
no_action,0.014,141.717
no_action,0.016,141.209
no_action,0.01,143.256
repair,0.024999999459832906,116.773
no_action,0.009,143.738
no_action,0.0,158.144
repair,0.020999999534338714,137.532
repair,0.020999999534338714,131.574
repair,0.020999999534338714,134.645
repair,0.021999999515712264,127.271
repair,0.019999999552965164,139.171
repair,0.020999999534338714,134.36
no_action,0.002,149.91
no_action,0.003,147.909
reduce_operation,0.02500000037252903,113.444
no_action,0.0,153.747
no_action,0.0,168.9
repair,0.020999999534338714,133.468
no_action,0.005,145.783
repair,0.020999999534338714,133.752
repair,0.019999999552965164,138.669
repair,0.019999999552965164,138.77
no_action,0.0,166.741
no_action,0.003,147.919
no_action,0.0,170.479
no_action,0.0,158.089
no_action,0.0,157.867
no_action,0.0,166.884
no_action,0.001,152.669
no_action,0.0,166.057
reduce_operation,0.02500000037252903,116.128
no_action,0.0,163.639
repair,0.020999999534338714,134.389
no_action,0.0,169.553
no_action,0.007,144.479
no_action,0.0,176.817
reduce_operation,0.026000000348314643,100.344
no_action,0.01,143.316
no_action,0.0,152.866
no_action,0.001,150.184
no_action,0.0,157.127
no_action,0.0,160.684
no_action,0.006,145.457
repair,0.021999999515712264,129.214
repair,0.020999999534338714,137.82
no_action,0.0,152.994
no_action,0.001,150.629
repair,0.020999999534338714,137.689
no_action,0.001,150.878
repair,0.021999999515712264,127.314
repair,0.021999999515712264,127.781
no_action,0.0,177.751
repair,0.019999999552965164,140.212
no_action,0.0,170.052
no_action,0.012,142.442
no_action,0.002,149.568
no_action,0.006,145.457
no_action,0.014,141.885
no_action,0.0,153.689
repair,0.019999999552965164,139.411
no_action,0.003,147.756
repair,0.021999999515712264,126.769
no_action,0.007,144.605
repair,0.020999999534338714,130.445
no_action,0.0,186.851
no_action,0.0,153.872
no_action,0.0,163.197
no_action,0.0,183.664
reduce_operation,0.02500000037252903,111.211
no_action,0.0,178.426
no_action,0.016,141.032
repair,0.020999999534338714,135.199
repair,0.020999999534338714,133.069
repair,0.02299999949708581,124.965
repair,0.020999999534338714,136.903
no_action,0.004,146.816
repair_reduce,0.04700000169873238,83.8071
no_action,0.0,152.847
no_action,0.003,148.156
no_action,0.002,150.018
no_action,0.019,140.328
no_action,0.013,141.932
repair,0.020999999534338714,134.446
no_action,0.001,152.077
repair,0.021999999515712264,127.073
reduce_operation,0.02500000037252903,115.12
repair,0.02299999949708581,121.565
repair,0.020999999534338714,133.827
no_action,0.0,155.788
no_action,0.0,160.966
repair,0.021999999515712264,125.642
repair,0.024999999459832906,118.196
repair_reduce,0.04600000174343585,86.894
no_action,0.0,163.573
no_action,0.008,144.343
no_action,0.002,149.729
repair,0.02299999949708581,122.037
repair,0.019999999552965164,139.061
repair,0.020999999534338714,135.877
reduce_operation,0.02500000037252903,108.054
no_action,0.0,179.459
no_action,0.003,148.111
reduce_operation,0.027000000324100257,99.6686
no_action,0.0,172.59
no_action,0.006,145.313
no_action,0.0,177.591
repair,0.021999999515712264,129.494
no_action,0.0,171.829
no_action,0.0,175.947
repair,0.020999999534338714,130.894
reduce_operation,0.02500000037252903,112.567
repair,0.020999999534338714,137.713
no_action,0.002,148.593
repair,0.020999999534338714,136.113
repair,0.020999999534338714,137.054
no_action,0.001,152.661
no_action,0.013,142.002
no_action,0.01,143.308
no_action,0.001,152.07
no_action,0.0,156.643
no_action,0.0,166.737
no_action,0.0,167.493
reduce_operation,0.02500000037252903,107.822
no_action,0.0,168.368
no_action,0.0,206.909
no_action,0.001,152.54
no_action,0.0,169.441
no_action,0.0,249.323
repair,0.021999999515712264,129.18
no_action,0.0,194.84
repair_reduce,0.05400000138580799,73.7599
no_action,0.001,152.66
no_action,0.014,141.793
no_action,0.007,144.636
no_action,0.0,177.304
repair,0.020999999534338714,131.667
no_action,0.008,144.049
reduce_operation,0.02500000037252903,112.069
no_action,0.0,188.228
no_action,0.0,160.65
repair_reduce,0.04700000169873238,84.5723
no_action,0.0,193.163
no_action,0.001,151.161
repair,0.021999999515712264,128.661
repair_reduce,0.04600000174343585,91.8592
no_action,0.012,142.256
no_action,0.0,153.368
repair,0.021999999515712264,129.858
no_action,0.0,192.965
no_action,0.0,179.495
no_action,0.0,216.787
no_action,0.0,166.322
no_action,0.0,157.987
no_action,0.0,166.771
reduce_operation,0.02500000037252903,116.358
no_action,0.0,157.173
repair,0.020999999534338714,131.123
no_action,0.0,163.885
reduce_operation,0.031000000227242707,96.8058
no_action,0.0,165.296
no_action,0.006,145.085
no_action,0.002,149.343
no_action,0.0,158.206
no_action,0.0,174.242
no_action,0.0,173.055
repair,0.020999999534338714,132.596
no_action,0.0,174.077
no_action,0.0,176.524
no_action,0.0,160.067
no_action,0.005,145.664
repair,0.020999999534338714,134.555
no_action,0.003,147.338
no_action,0.018,140.604
repair,0.020999999534338714,134.065
no_action,0.0,164.524
no_action,0.0,158.414
no_action,0.0,167.759
no_action,0.001,151.258
no_action,0.0,164.02
no_action,0.0,163.382
repair,0.021999999515712264,129.324
no_action,0.016,141.217
no_action,0.002,148.841
reduce_operation,0.02500000037252903,115.517
no_action,0.005,145.71
no_action,0.008,144.377
no_action,0.013,142.025
no_action,0.001,152.743
repair,0.02299999949708581,124.523
no_action,0.0,185.2
no_action,0.0,170.451
repair,0.021999999515712264,127.839
repair,0.021999999515712264,128.308
no_action,0.006,145.628
no_action,0.005,146.16
repair,0.020999999534338714,134.046
no_action,0.013,142.134
no_action,0.006,145.592
no_action,0.0,155.206
repair,0.020999999534338714,135.177
repair,0.02299999949708581,123.852
no_action,0.0,163.135
no_action,0.006,145.15
no_action,0.0,175.217
no_action,0.0,183.291
repair,0.021999999515712264,128.773
repair,0.020999999534338714,136.833
no_action,0.0,158.114
no_action,0.002,149.432
repair,0.021999999515712264,129.502
no_action,0.0,160.36
repair,0.019999999552965164,139.861
no_action,0.001,151.392
repair,0.021999999515712264,126.831
no_action,0.007,144.722
no_action,0.01,143.382
no_action,0.002,149.87
repair,0.019999999552965164,139.75
no_action,0.006,145.238
repair,0.020999999534338714,136.422
no_action,0.003,148.283
repair,0.020999999534338714,138.008
no_action,0.0,152.836
repair,0.020999999534338714,132.478
no_action,0.001,152.724
no_action,0.005,145.947
repair,0.020999999534338714,133.294
repair,0.02299999949708581,124.351
repair,0.020999999534338714,133.614
no_action,0.002,149.923
repair,0.024999999459832906,118.33
repair,0.020999999534338714,136.429
repair,0.019999999552965164,139.689
repair,0.02299999949708581,124.058
no_action,0.001,150.728
no_action,0.002,148.9
no_action,0.0,153.855
repair,0.019999999552965164,139.587
no_action,0.0,253.363
repair,0.020999999534338714,133.065
no_action,0.011,142.85
repair,0.019999999552965164,138.755
repair,0.020999999534338714,137.56
repair,0.020999999534338714,134.395
no_action,0.004,147.09
no_action,0.012,142.35
no_action,0.0,153.421
repair,0.020999999534338714,136.472
repair,0.024999999459832906,116.656
no_action,0.019,140.322
no_action,0.003,148.466
no_action,0.014,141.685
repair,0.019999999552965164,139.106
repair,0.02299999949708581,123.81
no_action,0.0,161.845
repair,0.020999999534338714,138.473
reduce_operation,0.02500000037252903,103.09
repair,0.020999999534338714,135.151
no_action,0.0,157.224
repair,0.023999999478459356,120.312
no_action,0.013,142.044
no_action,0.018,140.526
no_action,0.003,148.372
no_action,0.005,145.806
repair,0.023999999478459356,119.075
repair,0.02299999949708581,123.765
repair,0.020999999534338714,136.278
no_action,0.005,145.865
no_action,0.001,151.158
no_action,0.0,164.011
no_action,0.0,195.504
no_action,0.002,148.834
no_action,0.0,162.587
repair,0.020999999534338714,136.658
no_action,0.0,161.1
repair,0.020999999534338714,134.273
no_action,0.007,144.655
repair,0.019999999552965164,139.919
no_action,0.0,156.709
no_action,0.0,180.282
no_action,0.0,154.784
no_action,0.0,154.32
no_action,0.0,179.389
no_action,0.019,140.306
no_action,0.001,150.228
no_action,0.001,150.279
no_action,0.001,150.426
no_action,0.0,158.277
no_action,0.001,150.65
reduce_operation,0.02500000037252903,107.57
no_action,0.007,144.724
no_action,0.002,148.811
repair,0.021999999515712264,128.051
reduce_operation,0.030000000251457094,97.5652
no_action,0.001,150.384
no_action,0.016,141.205
repair,0.020999999534338714,135.288
repair,0.021999999515712264,125.379
repair,0.023999999478459356,118.888
no_action,0.0,178.694
no_action,0.0,191.88
no_action,0.001,150.911
reduce_operation,0.02500000037252903,102.282
no_action,0.0,162.425
no_action,0.0,171.02
no_action,0.0,196.55
reduce_operation,0.02800000029988587,98.539
no_action,0.0,193.683
no_action,0.0,174.859
no_action,0.0,242.263
repair,0.020999999534338714,137.177
repair_reduce,0.04600000174343585,89.826
repair,0.021999999515712264,125.913
no_action,0.012,142.357
repair,0.021999999515712264,128.742
no_action,0.0,246.513
no_action,0.0,164.898
no_action,0.0,213.562
repair,0.02299999949708581,123.003
no_action,0.0,184.584
no_action,0.0,152.963
repair,0.02299999949708581,122.372
repair,0.023999999478459356,121.052
no_action,0.006,145.588
repair,0.020999999534338714,132.713
repair,0.024999999459832906,117.6
no_action,0.0,155.851
no_action,0.0,166.584
no_action,0.001,152.506
no_action,0.0,178.16
no_action,0.0,165.282
no_action,0.004,146.928
no_action,0.0,155.233
no_action,0.0,173.611
repair,0.019999999552965164,139.581
no_action,0.0,189.425
no_action,0.002,149.648
no_action,0.0,158.558
no_action,0.0,195.077
no_action,0.003,147.408
no_action,0.004,146.654
repair,0.021999999515712264,128.34
reduce_operation,0.03900000003352761,94.5725
reduce_operation,0.027000000324100257,99.8597
repair,0.021999999515712264,128.698
no_action,0.001,152.634
no_action,0.0,155.149
no_action,0.0,157.658
no_action,0.0,178.372
no_action,0.0,159.625
repair,0.021999999515712264,129.238
repair,0.020999999534338714,137.142
no_action,0.0,193.237
no_action,0.002,149.664
no_action,0.008,144.274
no_action,0.002,149.087
repair,0.020999999534338714,136.937
no_action,0.001,150.406
repair_reduce,0.17699999588727952,50.8035
repair_reduce,0.04900000160932541,80.1904
repair,0.02299999949708581,122.398
repair_reduce,0.04600000174343585,89.9652
repair,0.02299999949708581,124.845
repair_reduce,0.04600000174343585,88.2272
repair,0.021999999515712264,129.928
no_action,0.002,149.166
no_action,0.0,160.033
repair,0.020999999534338714,130.587
repair,0.020999999534338714,138.062
no_action,0.0,153.671
no_action,0.004,146.724
reduce_operation,0.02500000037252903,108.056
no_action,0.001,150.462
no_action,0.0,164.401
reduce_operation,0.027000000324100257,99.81
no_action,0.0,176.566
no_action,0.0,187.752
no_action,0.0,156.035
reduce_operation,0.026000000348314643,101.846
no_action,0.0,171.259
no_action,0.0,155.519
no_action,0.0,193.864
no_action,0.0,153.634
reduce_operation,0.03200000020302832,96.3544
no_action,0.0,153.664
no_action,0.0,157.874
no_action,0.0,172.262
repair,0.024999999459832906,118.488
reduce_operation,0.026000000348314643,100.408
no_action,0.0,242.841
no_action,0.013,142.113
reduce_operation,0.02500000037252903,114.079
no_action,0.0,212.113
no_action,0.0,170.821
repair_reduce,0.04900000160932541,79.9693
repair,0.02299999949708581,121.991
no_action,0.0,233.715
repair,0.019999999552965164,139.112
repair,0.020999999534338714,133.689
repair,0.019999999552965164,139.237
no_action,0.0,184.374
no_action,0.001,150.984
