iteration,chain,sigma,Kmat_MPa_m_pred,mu_pred
72,3,36.0196,31.583,71.2
73,3,36.5294,95.6867,71.2
74,3,37.1774,61.9834,71.2
75,3,40.7672,94.8266,71.2
76,3,40.7672,48.4401,71.2
77,3,34.7245,128.731,71.2
78,3,37.7383,79.5409,71.2
79,3,37.5096,131.578,71.2
80,3,40.1509,63.7785,71.2
81,3,41.4701,68.6924,71.2
82,3,38.9758,39.5226,71.2
83,3,37.9822,94.6404,71.2
84,3,35.1392,20.8256,71.2
85,3,40.2958,52.0928,71.2
86,3,36.4898,89.2509,71.2
87,3,33.9496,19.8676,71.2
88,3,36.7537,36.0263,71.2
89,3,36.7537,20.2922,71.2
90,3,38.8225,59.3981,71.2
91,3,38.8225,11.7288,71.2
92,3,38.7803,109.091,71.2
93,3,40.6201,54.2747,71.2
94,3,38.9164,75.3472,71.2
95,3,38.9164,88.1192,71.2
96,3,39.6079,64.0526,71.2
97,3,38.4773,69.4912,71.2
98,3,38.4773,76.3104,71.2
99,3,38.4773,57.1646,71.2
100,3,38.4773,63.7538,71.2
101,3,39.702,133.089,71.2
102,3,35.4875,110.662,71.2
103,3,42.2443,70.7902,71.2
104,3,38.3787,73.9684,71.2
105,3,38.8608,32.4121,71.2
106,3,44.2574,57.1452,71.2
107,3,41.736,56.3865,71.2
108,3,40.4415,82.6995,71.2
109,3,38.8953,68.8922,71.2
110,3,38.6823,52.4469,71.2
111,3,36.5573,61.4029,71.2
112,3,37.6373,24.1394,71.2
113,3,37.5687,-18.8424,71.2
114,3,35.4736,85.8323,71.2
115,3,34.548,12.8053,71.2
116,3,35.2598,134.572,71.2
117,3,45.2132,5.77864,71.2
118,3,44.5642,71.4246,71.2
119,3,43.7515,41.1176,71.2
120,3,48.0165,139.94,71.2
121,3,45.5062,111.291,71.2
122,3,45.5062,17.6038,71.2
123,3,41.3227,108.361,71.2
124,3,42.496,59.8325,71.2
125,3,42.5794,88.489,71.2
126,3,42.7283,144.532,71.2
127,3,43.2059,-38.8662,71.2
128,3,42.3222,81.0182,71.2
129,3,41.6995,81.245,71.2
130,3,42.9014,85.6259,71.2
131,3,38.1966,36.7541,71.2
132,3,37.1394,107.853,71.2
133,3,39.1683,4.71311,71.2
134,3,40.1233,13.5647,71.2
135,3,40.1918,26.785,71.2
136,3,40.1649,96.2396,71.2
137,3,45.9807,57.7845,71.2
138,3,41.8507,47.0175,71.2
139,3,40.8724,65.3459,71.2
140,3,39.5363,26.3163,71.2
141,3,39.5363,9.25706,71.2
142,3,39.5363,60.4748,71.2
143,3,44.6647,138.873,71.2
144,3,44.1974,92.5819,71.2
145,3,41.8186,89.0215,71.2
146,3,38.4053,29.872,71.2
147,3,36.7796,106.376,71.2
148,3,44.4714,60.9497,71.2
149,3,48.6776,105.537,71.2
150,3,44.7375,78.9869,71.2
151,3,42.7943,77.3247,71.2
152,3,39.5093,88.6213,71.2
153,3,41.2558,97.9757,71.2
154,3,44.5132,76.1763,71.2
155,3,42.4958,126.271,71.2
156,3,42.7739,125.234,71.2
157,3,38.6415,86.6534,71.2
158,3,38.5696,87.993,71.2
159,3,37.6583,42.7197,71.2
160,3,36.1005,129.142,71.2
161,3,37.563,113.872,71.2
162,3,42.1527,96.3678,71.2
163,3,41.9528,77.0805,71.2
164,3,37.8697,103.284,71.2
165,3,38.4056,117.535,71.2
166,3,41.9055,109.747,71.2
167,3,43.4509,156.387,71.2
168,3,37.8706,119.09,71.2
169,3,36.6684,97.8491,71.2
170,3,40.7251,103.519,71.2
171,3,44.5557,107.018,71.2
172,3,40.4438,110.857,71.2
173,3,40.4438,115.043,71.2
174,3,38.9147,78.1039,71.2
175,3,44.7875,73.8842,71.2
176,3,44.2337,109.113,71.2
177,3,40.2492,44.4467,71.2
178,3,39.882,40.6678,71.2
179,3,43.72,56.7937,71.2
180,3,42.5871,67.0211,71.2
181,3,43.1667,61.2212,71.2
182,3,43.2705,62.4199,71.2
183,3,39.4675,31.6254,71.2
184,3,42.7737,8.53934,71.2
185,3,40.2206,84.72,71.2
186,3,37.6469,108.495,71.2
187,3,37.6469,57.0914,71.2
188,3,34.0801,48.9279,71.2
189,3,34.0801,111.586,71.2
190,3,40.0112,87.1918,71.2
191,3,41.909,96.7574,71.2
192,3,38.3029,-5.14531,71.2
193,3,38.3029,92.9486,71.2
194,3,37.9639,89.7854,71.2
195,3,39.0683,122.947,71.2
196,3,43.1626,95.9378,71.2
197,3,44.0062,141.477,71.2
198,3,41.1943,94.2047,71.2
199,3,40.6461,63.1471,71.2
200,3,38.7595,50.1724,71.2
201,3,41.1957,85.055,71.2
202,3,41.4974,24.535,71.2
203,3,44.1421,74.9897,71.2
204,3,41.1045,54.2476,71.2
205,3,40.3385,76.9373,71.2
206,3,37.9702,148.737,71.2
207,3,41.5262,26.5996,71.2
208,3,39.5204,89.3007,71.2
209,3,39.7424,38.0207,71.2
210,3,39.7424,11.3381,71.2
211,3,39.8549,69.5441,71.2
212,3,36.6323,67.036,71.2
213,3,36.6323,51.6207,71.2
214,3,42.6592,84.4509,71.2
215,3,43.8263,27.4695,71.2
216,3,39.7389,67.3399,71.2
217,3,39.3199,58.6998,71.2
218,3,38.8847,35.0385,71.2
219,3,38.2531,87.057,71.2
220,3,36.9218,116.941,71.2
221,3,40.1917,34.8771,71.2
222,3,42.7847,30.5409,71.2
223,3,42.5943,187.794,71.2
224,3,42.9162,81.1473,71.2
225,3,38.7602,5.47908,71.2
226,3,36.2085,102.239,71.2
227,3,36.2085,89.5389,71.2
228,3,35.7924,99.6168,71.2
229,3,37.4331,36.2726,71.2
230,3,37.1083,56.5689,71.2
231,3,35.6585,62.383,71.2
232,3,33.2141,69.1418,71.2
233,3,38.3069,73.1131,71.2
234,3,38.3069,63.4498,71.2
235,3,36.9192,115.335,71.2
236,3,36.9159,1.2539,71.2
237,3,39.0143,6.90264,71.2
238,3,40.7128,86.0585,71.2
239,3,39.1153,51.9228,71.2
240,3,42.9135,26.0932,71.2
241,3,45.4741,122.929,71.2
242,3,45.3837,61.7939,71.2
243,3,38.9909,72.239,71.2
244,3,33.7039,6.70299,71.2
245,3,42.654,77.3546,71.2
246,3,44.5367,2.88967,71.2
247,3,42.0267,30.6079,71.2
248,3,42.774,57.2316,71.2
249,3,40.6608,75.0627,71.2
250,3,37.2463,56.655,71.2
1,4,41.4622,89.8353,71.2
2,4,33.9323,34.372,71.2
3,4,34.6807,113.612,71.2
4,4,38.069,1.0197,71.2
5,4,37.6699,51.9628,71.2
6,4,37.6598,113.069,71.2
7,4,41.3029,83.0189,71.2
8,4,38.8159,113.854,71.2
9,4,41.0364,83.5173,71.2
10,4,39.4752,74.2156,71.2
11,4,40.276,65.8294,71.2
12,4,41.9153,48.3832,71.2
13,4,39.0435,68.6908,71.2
14,4,42.5587,127.4,71.2
15,4,41.7653,22.1613,71.2
16,4,40.325,73.982,71.2
17,4,38.8727,63.673,71.2
18,4,38.545,20.8576,71.2
19,4,40.2627,74.6117,71.2
20,4,38.4978,103.696,71.2
21,4,38.9392,5.06083,71.2
22,4,35.3247,52.4662,71.2
23,4,41.1034,187.817,71.2
24,4,45.079,56.9021,71.2
25,4,44.4483,69.3546,71.2
26,4,45.6541,15.4475,71.2
27,4,39.8736,36.2984,71.2
28,4,45.6345,91.0921,71.2
29,4,43.846,121.537,71.2
30,4,50.5058,81.3263,71.2
31,4,50.4525,-3.13031,71.2
32,4,40.947,32.0303,71.2
33,4,38.1079,28.8001,71.2
34,4,42.506,92.1787,71.2
35,4,35.2624,96.6332,71.2
36,4,36.8743,54.2093,71.2
37,4,35.5408,91.3169,71.2
38,4,33.064,88.1465,71.2
